id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15765322.0,Udegbulam,663.0,France,Male,38.0,6.0,0.0,2.0,0.0,1.0,180591.32,0.0
1,15647572.0,Hsiao,678.0,France,Female,26.0,2.0,0.0,1.0,1.0,1.0,44506.09,0.0
2,15697045.0,Mistry,741.0,France,Female,38.0,9.0,0.0,2.0,1.0,1.0,72969.9,0.0
3,15723604.0,Okagbue,535.0,Germany,Female,46.0,8.0,117715.84,1.0,1.0,0.0,70778.62,0.0
4,15704819.0,Chukwudi,671.0,Germany,Female,51.0,6.0,101827.07,1.0,0.0,0.0,54439.73,1.0
5,15765266.0,Chinomso,710.0,France,Female,34.0,3.0,0.0,2.0,1.0,0.0,67979.35,0.0
6,15809722.0,Liao,591.0,France,Female,25.0,7.0,108724.98,2.0,1.0,1.0,149593.61,0.0
7,15733444.0,Lo,638.0,France,Male,45.0,1.0,0.0,1.0,0.0,0.0,67840.81,1.0
8,15672930.0,Hs?eh,671.0,Spain,Male,43.0,3.0,81290.02,1.0,0.0,0.0,63795.8,0.0
9,15771543.0,Nwachukwu,688.0,Germany,Female,40.0,3.0,98612.1,1.0,1.0,0.0,183572.39,0.0
10,15767129.0,Trevisano,543.0,Germany,Male,51.0,7.0,123971.51,1.0,1.0,0.0,147090.9,1.0
11,15590730.0,Maclean,821.0,France,Female,39.0,10.0,0.0,1.0,1.0,0.0,160523.33,1.0
12,15623082.0,McLean,704.0,Spain,Female,44.0,1.0,0.0,2.0,1.0,1.0,139048.0,0.0
13,15707596.0,Lombardi,693.0,Germany,Female,33.0,5.0,91286.51,2.0,1.0,0.0,183584.14,0.0
14,15586621.0,T'ang,661.0,France,Male,35.0,2.0,0.0,2.0,1.0,0.0,149772.61,0.0
15,15623107.0,Ozerova,614.0,France,Female,44.0,8.0,165312.27,1.0,1.0,0.0,72350.17,0.0
16,15572360.0,Chukwueloka,715.0,France,Male,34.0,4.0,0.0,2.0,1.0,1.0,19842.22,0.0
17,15775294.0,Ives,752.0,France,Male,29.0,6.0,0.0,1.0,1.0,0.0,181208.47,0.0
18,15718773.0,Mazzi,466.0,France,Female,26.0,1.0,0.0,2.0,1.0,1.0,120108.49,0.0
19,15793723.0,P'eng,599.0,France,Male,26.0,3.0,0.0,2.0,0.0,0.0,181224.56,0.0
